year,tourney key,round,premio €,torneo_id
2004,wimbledon - 2004,W,1816581.9416921863,
2005,wimbledon - 2005,W,1862723.1230111679,
2006,wimbledon - 2006,W,1910036.2903356517,
2007,wimbledon - 2007,W,1958551.2121101776,
2008,wimbledon - 2008,W,2008298.412897776,
2009,wimbledon - 2009,W,2059309.1925853798,
2010,wimbledon - 2010,W,2111615.6460770485,
2011,wimbledon - 2011,W,2165250.6834874055,
2012,wimbledon - 2012,W,2220248.0508479862,
2013,wimbledon - 2013,W,2276642.3513395255,
2014,wimbledon - 2014,W,2334469.0670635495,
2015,wimbledon - 2015,W,2393764.5813669637,
2016,wimbledon - 2016,W,2454566.201733685,
2017,wimbledon - 2017,W,2516912.183257721,
2018,wimbledon - 2018,W,2580841.752712467,
2019,wimbledon - 2019,W,2646395.1332313637,
2020,wimbledon - 2020,W,2713613.5696154404,
2021,wimbledon - 2021,W,2782539.354283673,
2022,wimbledon - 2022,W,2853215.853882479,
2023,wimbledon - 2023,W,2925687.536571094,
2024,wimbledon - 2024,W,3000000.0,
2000,australian open - 2000,W,1917028.3250588875,
2001,australian open - 2001,W,1965720.8445153835,
2002,australian open - 2002,W,2015650.1539660743,
2003,australian open - 2003,W,2066847.6678768129,
2004,australian open - 2004,W,2119345.598640884,
2005,australian open - 2005,W,2173176.9768463625,
2006,australian open - 2006,W,2228375.6720582605,
2007,australian open - 2007,W,2284976.4141285405,
2008,australian open - 2008,W,2343014.8150474057,
2009,australian open - 2009,W,2402527.39134961,
2010,australian open - 2010,W,2463551.58708989,
2011,australian open - 2011,W,2526125.7974019735,
2012,australian open - 2012,W,2590289.392655984,
2013,australian open - 2013,W,2656082.7432294465,
2014,australian open - 2014,W,2723547.2449074746,
2015,australian open - 2015,W,2792725.344928124,
2016,australian open - 2016,W,2863660.5686892993,
2017,australian open - 2017,W,2936397.5471340073,
2018,australian open - 2018,W,3010982.0448312117,
2019,australian open - 2019,W,3087460.9887699247,
2020,australian open - 2020,W,3165882.497884681,
2021,australian open - 2021,W,3246295.913330952,
2022,australian open - 2022,W,3328751.829529559,
2023,australian open - 2023,W,3413302.1259996095,
2024,australian open - 2024,W,3500000.0,
2000,us open - 2000,F,1369305.9464706338,
2001,us open - 2001,F,1404086.317510988,
2002,us open - 2002,F,1439750.1099757673,
2003,us open - 2003,F,1476319.762769152,
2004,us open - 2004,F,1513818.2847434885,
2005,us open - 2005,F,1552269.2691759733,
2006,us open - 2006,F,1591696.9086130431,
2007,us open - 2007,F,1632126.0100918147,
2008,us open - 2008,F,1673582.0107481468,
2009,us open - 2009,F,1716090.99382115,
2010,us open - 2010,F,1759679.705064207,
2011,us open - 2011,F,1804375.569572838,
2012,us open - 2012,F,1850206.7090399885,
2013,us open - 2013,F,1897201.9594496046,
2014,us open - 2014,F,1945390.8892196247,
2015,us open - 2015,F,1994803.817805803,
2016,us open - 2016,F,2045471.834778071,
2017,us open - 2017,F,2097426.819381434,
2018,us open - 2018,F,2150701.4605937228,
2019,us open - 2019,F,2205329.277692803,
2020,us open - 2020,F,2261344.6413462004,
2021,us open - 2021,F,2318782.7952363943,
2022,us open - 2022,F,2377679.8782353993,
2023,us open - 2023,F,2438072.947142578,
2024,us open - 2024,F,2500000.0,
2000,roland garros - 2000,F,698346.0327000233,
2001,roland garros - 2001,F,716084.021930604,
2002,roland garros - 2002,F,734272.5560876414,
2003,roland garros - 2003,F,752923.0790122675,
2004,roland garros - 2004,F,772047.3252191792,
2005,roland garros - 2005,F,791657.3272797463,
2006,roland garros - 2006,F,811765.4233926521,
2007,roland garros - 2007,F,832384.2651468255,
2008,roland garros - 2008,F,853526.8254815548,
2009,roland garros - 2009,F,875206.4068487865,
2010,roland garros - 2010,F,897436.6495827456,
2011,roland garros - 2011,F,920231.5404821475,
2012,roland garros - 2012,F,943605.4216103941,
2013,roland garros - 2013,F,967572.9993192983,
2014,roland garros - 2014,F,992149.3535020085,
2015,roland garros - 2015,F,1017349.9470809596,
2016,roland garros - 2016,F,1043190.6357368161,
2017,roland garros - 2017,F,1069687.6778845312,
2018,roland garros - 2018,F,1096857.7449027984,
2019,roland garros - 2019,F,1124717.9316233296,
2020,roland garros - 2020,F,1153285.7670865622,
2021,roland garros - 2021,F,1182579.2255705611,
2022,roland garros - 2022,F,1212616.7379000536,
2023,roland garros - 2023,F,1243417.2030427149,
2024,roland garros - 2024,F,1275000.0,
2000,wimbledon - 2000,F,832538.0154541454,
2001,wimbledon - 2001,F,853684.4810466808,
2002,wimbledon - 2002,F,875368.0668652665,
2003,wimbledon - 2003,F,897602.4157636444,
2004,wimbledon - 2004,F,920401.5171240411,
2005,wimbledon - 2005,F,943779.7156589917,
2006,wimbledon - 2006,F,967751.7204367303,
2007,wimbledon - 2007,F,992332.6141358233,
2008,wimbledon - 2008,F,1017537.8625348733,
2009,wimbledon - 2009,F,1043383.3242432592,
2010,wimbledon - 2010,F,1069885.260679038,
2011,wimbledon - 2011,F,1097060.3463002855,
2012,wimbledon - 2012,F,1124925.679096313,
2013,wimbledon - 2013,F,1153498.7913453595,
2014,wimbledon - 2014,F,1182797.6606455317,
2015,wimbledon - 2015,F,1212840.7212259283,
2016,wimbledon - 2016,F,1243646.875545067,
2017,wimbledon - 2017,F,1275235.5061839118,
2018,wimbledon - 2018,F,1307626.4880409834,
2019,wimbledon - 2019,F,1340840.2008372245,
2020,wimbledon - 2020,F,1374897.54193849,
2021,wimbledon - 2021,F,1409819.9395037277,
2022,wimbledon - 2022,F,1445629.3659671226,
2023,wimbledon - 2023,F,1482348.3518626876,
2024,wimbledon - 2024,F,1520000.0,
2000,australian open - 2000,F,1040672.5193176818,
2001,australian open - 2001,F,1067105.601308351,
2002,australian open - 2002,F,1094210.083581583,
2003,australian open - 2003,F,1122003.0197045554,
2004,australian open - 2004,F,1150501.8964050512,
2005,australian open - 2005,F,1179724.6445737397,
2006,australian open - 2006,F,1209689.6505459128,
2007,australian open - 2007,F,1240415.767669779,
2008,australian open - 2008,F,1271922.3281685917,
2009,australian open - 2009,F,1304229.1553040738,
2010,australian open - 2010,F,1337356.5758487973,
2011,australian open - 2011,F,1371325.4328753569,
2012,australian open - 2012,F,1406157.0988703913,
2013,australian open - 2013,F,1441873.4891816995,
2014,australian open - 2014,F,1478497.0758069146,
2015,australian open - 2015,F,1516050.9015324102,
2016,australian open - 2016,F,1554558.594431334,
2017,australian open - 2017,F,1594044.3827298898,
2018,australian open - 2018,F,1634533.1100512291,
2019,australian open - 2019,F,1676050.2510465304,
2020,australian open - 2020,F,1718621.9274231123,
2021,australian open - 2021,F,1762274.9243796598,
2022,australian open - 2022,F,1807036.7074589033,
2023,australian open - 2023,F,1852935.4398283595,
2024,australian open - 2024,F,1900000.0,
2000,us open - 2000,SF,690130.1970211995,
2001,us open - 2001,SF,707659.504025538,
2002,us open - 2002,SF,725634.0554277868,
2003,us open - 2003,SF,744065.1604356526,
2004,us open - 2004,SF,762964.4155107182,
2005,us open - 2005,SF,782343.7116646905,
2006,us open - 2006,SF,802215.2419409738,
2007,us open - 2007,SF,822591.5090862745,
2008,us open - 2008,SF,843485.333417066,
2009,us open - 2009,SF,864909.8608858596,
2010,us open - 2010,SF,886878.5713523604,
2011,us open - 2011,SF,909405.2870647104,
2012,us open - 2012,SF,932504.1813561543,
2013,us open - 2013,SF,956189.7875626007,
2014,us open - 2014,SF,980477.0081666908,
2015,us open - 2015,SF,1005381.1241741247,
2016,us open - 2016,SF,1030917.8047281477,
2017,us open - 2017,SF,1057103.1169682427,
2018,us open - 2018,SF,1083953.5361392363,
2019,us open - 2019,SF,1111485.955957173,
2020,us open - 2020,SF,1139717.6992384852,
2021,us open - 2021,SF,1168666.5287991427,
2022,us open - 2022,SF,1198350.6586306412,
2023,us open - 2023,SF,1228788.7653598594,
2024,us open - 2024,SF,1260000.0,
2000,roland garros - 2000,SF,377928.44122589496,
2001,roland garros - 2001,SF,387527.82363303273,
2002,roland garros - 2002,SF,397371.0303533118,
2003,roland garros - 2003,SF,407464.25452428596,
2004,roland garros - 2004,SF,417813.8465892028,
2005,roland garros - 2005,SF,428426.3182925686,
2006,roland garros - 2006,SF,439308.34677719994,
2007,roland garros - 2007,SF,450466.77878534084,
2008,roland garros - 2008,SF,461908.6349664885,
2009,roland garros - 2009,SF,473641.1142946374,
2010,roland garros - 2010,SF,485671.5985977212,
2011,roland garros - 2011,SF,498007.65720210335,
2012,roland garros - 2012,SF,510657.0516950368,
2013,roland garros - 2013,SF,523627.74080809084,
2014,roland garros - 2014,SF,536927.8854246164,
2015,roland garros - 2015,SF,550565.8537144016,
2016,roland garros - 2016,SF,564550.2263987475,
2017,roland garros - 2017,SF,578889.8021492758,
2018,roland garros - 2018,SF,593593.6031238674,
2019,roland garros - 2019,SF,608670.8806432137,
2020,roland garros - 2020,SF,624131.1210115514,
2021,roland garros - 2021,SF,639984.0514852449,
2022,roland garros - 2022,SF,656239.6463929701,
2023,roland garros - 2023,SF,672908.1334113516,
2024,roland garros - 2024,SF,690000.0,
2000,wimbledon - 2000,SF,424484.8434058965,
2001,wimbledon - 2001,SF,435266.7584284063,
2002,wimbledon - 2002,SF,446322.5340924879,
2003,wimbledon - 2003,SF,457659.1264584371,
2004,wimbledon - 2004,SF,469283.66827048146,
2005,wimbledon - 2005,SF,481203.4734445517,
2006,wimbledon - 2006,SF,493426.04167004337,
2007,wimbledon - 2007,SF,505959.0631284625,
2008,wimbledon - 2008,SF,518810.4233319255,
2009,wimbledon - 2009,SF,531988.2080845565,
2010,wimbledon - 2010,SF,545500.7085699042,
2011,wimbledon - 2011,SF,559356.4265675799,
2012,wimbledon - 2012,SF,573564.0798023965,
2013,wimbledon - 2013,SF,588132.6074293774,
2014,wimbledon - 2014,SF,603071.1756580836,
2015,wimbledon - 2015,SF,618389.1835197989,
2016,wimbledon - 2016,SF,634096.2687812019,
2017,wimbledon - 2017,SF,650202.3140082445,
2018,wimbledon - 2018,SF,666717.452784054,
2019,wimbledon - 2019,SF,683652.076084769,
2020,wimbledon - 2020,SF,701016.8388173222,
2021,wimbledon - 2021,SF,718822.6665232823,
2022,wimbledon - 2022,SF,737080.7622529737,
2023,wimbledon - 2023,SF,755802.6136141992,
2024,wimbledon - 2024,SF,775000.0,
2000,australian open - 2000,SF,602494.6164470789,
2001,australian open - 2001,SF,617797.9797048348,
2002,australian open - 2002,SF,633490.0483893376,
2003,australian open - 2003,SF,649580.6956184269,
2004,australian open - 2004,SF,666080.0452871349,
2005,australian open - 2005,SF,682998.4784374282,
2006,australian open - 2006,SF,700346.639789739,
2007,australian open - 2007,SF,718135.4444403985,
2008,australian open - 2008,SF,736376.0847291846,
2009,australian open - 2009,SF,755080.037281306,
2010,australian open - 2010,SF,774259.0702282512,
2011,australian open - 2011,SF,793925.2506120488,
2012,australian open - 2012,SF,814090.951977595,
2013,australian open - 2013,SF,834768.862157826,
2014,australian open - 2014,SF,855971.9912566348,
2015,australian open - 2015,SF,877713.6798345533,
2016,australian open - 2016,SF,900007.6073023512,
2017,australian open - 2017,SF,922867.800527831,
2018,australian open - 2018,SF,946308.642661238,
2019,australian open - 2019,SF,970344.8821848334,
2020,australian open - 2020,SF,994991.6421923282,
2021,australian open - 2021,SF,1020264.4299040135,
2022,australian open - 2022,SF,1046179.1464235756,
2023,australian open - 2023,SF,1072752.0967427345,
2024,australian open - 2024,SF,1100000.0,
2000,us open - 2000,QF,361496.7698682473,
2001,us open - 2001,QF,370678.78782290086,
2002,us open - 2002,QF,380094.02903360256,
2003,us open - 2003,QF,389748.4173710561,
2004,us open - 2004,QF,399648.027172281,
2005,us open - 2005,QF,409799.08706245694,
2006,us open - 2006,QF,420207.9838738434,
2007,us open - 2007,QF,430881.26666423905,
2008,us open - 2008,QF,441825.65083751077,
2009,us open - 2009,QF,453048.0223687836,
2010,us open - 2010,QF,464555.4421369507,
2011,us open - 2011,QF,476355.15036722925,
2012,us open - 2012,QF,488454.57118655695,
2013,us open - 2013,QF,500861.3172946956,
2014,us open - 2014,QF,513583.1947539809,
2015,us open - 2015,QF,526628.2079007319,
2016,us open - 2016,QF,540004.5643814107,
2017,us open - 2017,QF,553720.6803166985,
2018,us open - 2018,QF,567785.1855967428,
2019,us open - 2019,QF,582206.9293109,
2020,us open - 2020,QF,596994.9853153969,
2021,us open - 2021,QF,612158.6579424081,
2022,us open - 2022,QF,627707.4878541454,
2023,us open - 2023,QF,643651.2580456407,
2024,us open - 2024,QF,660000.0,
2000,roland garros - 2000,QF,240997.84657883155,
2001,roland garros - 2001,QF,247119.19188193392,
2002,roland garros - 2002,QF,253396.01935573504,
2003,roland garros - 2003,QF,259832.27824737073,
2004,roland garros - 2004,QF,266432.018114854,
2005,roland garros - 2005,QF,273199.39137497125,
2006,roland garros - 2006,QF,280138.6559158956,
2007,roland garros - 2007,QF,287254.17777615937,
2008,roland garros - 2008,QF,294550.43389167386,
2009,roland garros - 2009,QF,302032.0149125224,
2010,roland garros - 2010,QF,309703.62809130043,
2011,roland garros - 2011,QF,317570.10024481954,
2012,roland garros - 2012,QF,325636.380791038,
2013,roland garros - 2013,QF,333907.5448631304,
2014,roland garros - 2014,QF,342388.7965026539,
2015,roland garros - 2015,QF,351085.47193382133,
2016,roland garros - 2016,QF,360003.04292094044,
2017,roland garros - 2017,QF,369147.1202111324,
2018,roland garros - 2018,QF,378523.4570644952,
2019,roland garros - 2019,QF,388137.95287393336,
2020,roland garros - 2020,QF,397996.6568769313,
2021,roland garros - 2021,QF,408105.7719616054,
2022,roland garros - 2022,QF,418471.65856943023,
2023,roland garros - 2023,QF,429100.8386970938,
2024,roland garros - 2024,QF,440000.0,
2000,wimbledon - 2000,QF,219088.95143530142,
2001,wimbledon - 2001,QF,224653.8108017581,
2002,wimbledon - 2002,QF,230360.01759612278,
2003,wimbledon - 2003,QF,236211.1620430643,
2004,wimbledon - 2004,QF,242210.92555895817,
2005,wimbledon - 2005,QF,248363.0830681557,
2006,wimbledon - 2006,QF,254671.5053780869,
2007,wimbledon - 2007,QF,261140.16161469035,
2008,wimbledon - 2008,QF,267773.1217197035,
2009,wimbledon - 2009,QF,274574.559011384,
2010,wimbledon - 2010,QF,281548.75281027314,
2011,wimbledon - 2011,QF,288700.0911316541,
2012,wimbledon - 2012,QF,296033.07344639814,
2013,wimbledon - 2013,QF,303552.3135119367,
2014,wimbledon - 2014,QF,311262.54227513995,
2015,wimbledon - 2015,QF,319168.61084892845,
2016,wimbledon - 2016,QF,327275.49356449133,
2017,wimbledon - 2017,QF,335588.29110102943,
2018,wimbledon - 2018,QF,344112.23369499564,
2019,wimbledon - 2019,QF,352852.6844308485,
2020,wimbledon - 2020,QF,361815.1426153921,
2021,wimbledon - 2021,QF,371005.2472378231,
2022,wimbledon - 2022,QF,380428.78051766386,
2023,wimbledon - 2023,QF,390091.67154281255,
2024,wimbledon - 2024,QF,400000.0,
2000,australian open - 2000,QF,364235.3817611886,
2001,australian open - 2001,QF,373486.96045792283,
2002,australian open - 2002,QF,382973.5292535541,
2003,australian open - 2003,QF,392701.0568965944,
2004,australian open - 2004,QF,402675.66374176793,
2005,australian open - 2005,QF,412903.6256008089,
2006,australian open - 2006,QF,423391.3776910695,
2007,australian open - 2007,QF,434145.5186844227,
2008,australian open - 2008,QF,445172.8148590071,
2009,australian open - 2009,QF,456480.20435642585,
2010,australian open - 2010,QF,468074.8015470791,
2011,australian open - 2011,QF,479963.90150637494,
2012,australian open - 2012,QF,492154.98460463696,
2013,australian open - 2013,QF,504655.7212135948,
2014,australian open - 2014,QF,517473.97653242014,
2015,australian open - 2015,QF,530617.8155363436,
2016,australian open - 2016,QF,544095.5080509669,
2017,australian open - 2017,QF,557915.5339554615,
2018,australian open - 2018,QF,572086.5885179302,
2019,australian open - 2019,QF,586617.5878662857,
2020,australian open - 2020,QF,601517.6745980893,
2021,australian open - 2021,QF,616796.2235328809,
2022,australian open - 2022,QF,632462.8476106161,
2023,australian open - 2023,QF,648527.4039399258,
2024,australian open - 2024,QF,665000.0,
2000,us open - 2000,R16,219088.95143530142,
2001,us open - 2001,R16,224653.8108017581,
2002,us open - 2002,R16,230360.01759612278,
2003,us open - 2003,R16,236211.1620430643,
2004,us open - 2004,R16,242210.92555895817,
2005,us open - 2005,R16,248363.0830681557,
2006,us open - 2006,R16,254671.5053780869,
2007,us open - 2007,R16,261140.16161469035,
2008,us open - 2008,R16,267773.1217197035,
2009,us open - 2009,R16,274574.559011384,
2010,us open - 2010,R16,281548.75281027314,
2011,us open - 2011,R16,288700.0911316541,
2012,us open - 2012,R16,296033.07344639814,
2013,us open - 2013,R16,303552.3135119367,
2014,us open - 2014,R16,311262.54227513995,
2015,us open - 2015,R16,319168.61084892845,
2016,us open - 2016,R16,327275.49356449133,
2017,us open - 2017,R16,335588.29110102943,
2018,us open - 2018,R16,344112.23369499564,
2019,us open - 2019,R16,352852.6844308485,
2020,us open - 2020,R16,361815.1426153921,
2021,us open - 2021,R16,371005.2472378231,
2022,us open - 2022,R16,380428.78051766386,
2023,us open - 2023,R16,390091.67154281255,
2024,us open - 2024,R16,400000.0,
2000,roland garros - 2000,R16,145146.4303258872,
2001,roland garros - 2001,R16,148833.14965616475,
2002,roland garros - 2002,R16,152613.51165743134,
2003,roland garros - 2003,R16,156489.8948535301,
2004,roland garros - 2004,R16,160464.7381828098,
2005,roland garros - 2005,R16,164540.54253265317,
2006,roland garros - 2006,R16,168719.87231298257,
2007,roland garros - 2007,R16,173005.35706973236,
2008,roland garros - 2008,R16,177399.69313930356,
2009,roland garros - 2009,R16,181905.64534504188,
2010,roland garros - 2010,R16,186526.04873680597,
2011,roland garros - 2011,R16,191263.81037472084,
2012,roland garros - 2012,R16,196121.91115823877,
2013,roland garros - 2013,R16,201103.40770165808,
2014,roland garros - 2014,R16,206211.4342572802,
2015,roland garros - 2015,R16,211449.20468741513,
2016,roland garros - 2016,R16,216820.0144864755,
2017,roland garros - 2017,R16,222327.242854432,
2018,roland garros - 2018,R16,227974.3548229346,
2019,roland garros - 2019,R16,233764.90343543715,
2020,roland garros - 2020,R16,239702.53198269726,
2021,roland garros - 2021,R16,245790.9762950578,
2022,roland garros - 2022,R16,252034.06709295232,
2023,roland garros - 2023,R16,258435.7323971133,
2024,roland garros - 2024,R16,265000.0,
2000,wimbledon - 2000,R16,131453.37086118085,
2001,wimbledon - 2001,R16,134792.28648105485,
2002,wimbledon - 2002,R16,138216.01055767367,
2003,wimbledon - 2003,R16,141726.69722583858,
2004,wimbledon - 2004,R16,145326.5553353749,
2005,wimbledon - 2005,R16,149017.84984089344,
2006,wimbledon - 2006,R16,152802.90322685216,
2007,wimbledon - 2007,R16,156684.0969688142,
2008,wimbledon - 2008,R16,160663.8730318221,
2009,wimbledon - 2009,R16,164744.73540683038,
2010,wimbledon - 2010,R16,168929.2516861639,
2011,wimbledon - 2011,R16,173220.05467899246,
2012,wimbledon - 2012,R16,177619.8440678389,
2013,wimbledon - 2013,R16,182131.38810716203,
2014,wimbledon - 2014,R16,186757.52536508397,
2015,wimbledon - 2015,R16,191501.16650935708,
2016,wimbledon - 2016,R16,196365.2961386948,
2017,wimbledon - 2017,R16,201352.97466061765,
2018,wimbledon - 2018,R16,206467.34021699737,
2019,wimbledon - 2019,R16,211711.6106585091,
2020,wimbledon - 2020,R16,217089.08556923526,
2021,wimbledon - 2021,R16,222603.14834269386,
2022,wimbledon - 2022,R16,228257.26831059833,
2023,wimbledon - 2023,R16,234055.00292568753,
2024,wimbledon - 2024,R16,240000.0,
2000,australian open - 2000,R16,230043.3990070665,
2001,australian open - 2001,R16,235886.50134184601,
2002,australian open - 2002,R16,241878.01847592893,
2003,australian open - 2003,R16,248021.72014521752,
2004,australian open - 2004,R16,254321.47183690607,
2005,australian open - 2005,R16,260781.2372215635,
2006,australian open - 2006,R16,267405.08064699126,
2007,australian open - 2007,R16,274197.16969542485,
2008,australian open - 2008,R16,281161.7778056887,
2009,australian open - 2009,R16,288303.2869619532,
2010,australian open - 2010,R16,295626.1904507868,
2011,australian open - 2011,R16,303135.0956882368,
2012,australian open - 2012,R16,310834.7271187181,
2013,australian open - 2013,R16,318729.92918753356,
2014,australian open - 2014,R16,326825.6693888969,
2015,australian open - 2015,R16,335127.0413913749,
2016,australian open - 2016,R16,343639.2682427159,
2017,australian open - 2017,R16,352367.7056560809,
2018,australian open - 2018,R16,361317.8453797454,
2019,australian open - 2019,R16,370495.31865239097,
2020,australian open - 2020,R16,379905.8997461617,
2021,australian open - 2021,R16,389555.50959971425,
2022,australian open - 2022,R16,399450.2195435471,
2023,australian open - 2023,R16,409596.25511995313,
2024,australian open - 2024,R16,420000.0,
2000,us open - 2000,R32,129810.2037254161,
2001,us open - 2001,R32,133107.38290004167,
2002,us open - 2002,R32,136488.31042570274,
2003,us open - 2003,R32,139955.1135105156,
2004,us open - 2004,R32,143509.9733936827,
2005,us open - 2005,R32,147155.12671788226,
2006,us open - 2006,R32,150892.86693651648,
2007,us open - 2007,R32,154725.54575670403,
2008,us open - 2008,R32,158655.57461892432,
2009,us open - 2009,R32,162685.426214245,
2010,us open - 2010,R32,166817.63604008683,
2011,us open - 2011,R32,171054.80399550506,
2012,us open - 2012,R32,175399.59601699092,
2013,us open - 2013,R32,179854.7457558225,
2014,us open - 2014,R32,184423.0562980204,
2015,us open - 2015,R32,189107.4019279901,
2016,us open - 2016,R32,193910.7299369611,
2017,us open - 2017,R32,198836.06247735993,
2018,us open - 2018,R32,203886.4984642849,
2019,us open - 2019,R32,209065.21552527774,
2020,us open - 2020,R32,214375.47199961983,
2021,us open - 2021,R32,219820.60898841018,
2022,us open - 2022,R32,225404.05245671584,
2023,us open - 2023,R32,231129.3153891164,
2024,us open - 2024,R32,237000.0,
2000,roland garros - 2000,R32,92017.3596028266,
2001,roland garros - 2001,R32,94354.6005367384,
2002,roland garros - 2002,R32,96751.20739037156,
2003,roland garros - 2003,R32,99208.688058087,
2004,roland garros - 2004,R32,101728.58873476244,
2005,roland garros - 2005,R32,104312.4948886254,
2006,roland garros - 2006,R32,106962.0322587965,
2007,roland garros - 2007,R32,109678.86787816994,
2008,roland garros - 2008,R32,112464.71112227546,
2009,roland garros - 2009,R32,115321.31478478128,
2010,roland garros - 2010,R32,118250.47618031473,
2011,roland garros - 2011,R32,121254.03827529472,
2012,roland garros - 2012,R32,124333.89084748723,
2013,roland garros - 2013,R32,127491.97167501342,
2014,roland garros - 2014,R32,130730.26775555877,
2015,roland garros - 2015,R32,134050.81655654995,
2016,roland garros - 2016,R32,137455.70729708637,
2017,roland garros - 2017,R32,140947.08226243235,
2018,roland garros - 2018,R32,144527.13815189817,
2019,roland garros - 2019,R32,148198.12746095637,
2020,roland garros - 2020,R32,151962.35989846467,
2021,roland garros - 2021,R32,155822.2038398857,
2022,roland garros - 2022,R32,159780.08781741883,
2023,roland garros - 2023,R32,163838.50204798125,
2024,roland garros - 2024,R32,168000.0,
2000,wimbledon - 2000,R32,83253.80154541454,
2001,wimbledon - 2001,R32,85368.44810466807,
2002,wimbledon - 2002,R32,87536.80668652666,
2003,wimbledon - 2003,R32,89760.24157636444,
2004,wimbledon - 2004,R32,92040.1517124041,
2005,wimbledon - 2005,R32,94377.97156589916,
2006,wimbledon - 2006,R32,96775.17204367302,
2007,wimbledon - 2007,R32,99233.26141358232,
2008,wimbledon - 2008,R32,101753.78625348733,
2009,wimbledon - 2009,R32,104338.33242432591,
2010,wimbledon - 2010,R32,106988.52606790379,
2011,wimbledon - 2011,R32,109706.03463002856,
2012,wimbledon - 2012,R32,112492.5679096313,
2013,wimbledon - 2013,R32,115349.87913453595,
2014,wimbledon - 2014,R32,118279.76606455317,
2015,wimbledon - 2015,R32,121284.07212259283,
2016,wimbledon - 2016,R32,124364.6875545067,
2017,wimbledon - 2017,R32,127523.55061839118,
2018,wimbledon - 2018,R32,130762.64880409834,
2019,wimbledon - 2019,R32,134084.02008372243,
2020,wimbledon - 2020,R32,137489.754193849,
2021,wimbledon - 2021,R32,140981.9939503728,
2022,wimbledon - 2022,R32,144562.93659671227,
2023,wimbledon - 2023,R32,148234.83518626876,
2024,wimbledon - 2024,R32,152000.0,
2000,australian open - 2000,R32,158839.48979059354,
2001,australian open - 2001,R32,162874.01283127462,
2002,australian open - 2002,R32,167011.01275718902,
2003,australian open - 2003,R32,171253.09248122163,
2004,australian open - 2004,R32,175602.92103024467,
2005,australian open - 2005,R32,180063.2352244129,
2006,australian open - 2006,R32,184636.841399113,
2007,australian open - 2007,R32,189326.6171706505,
2008,australian open - 2008,R32,194135.51324678503,
2009,australian open - 2009,R32,199066.5552832534,
2010,australian open - 2010,R32,204122.84578744802,
2011,australian open - 2011,R32,209307.56607044922,
2012,australian open - 2012,R32,214623.97824863865,
2013,australian open - 2013,R32,220075.4272961541,
2014,australian open - 2014,R32,225665.34314947645,
2015,australian open - 2015,R32,231397.24286547315,
2016,australian open - 2016,R32,237274.73283425623,
2017,australian open - 2017,R32,243301.51104824632,
2018,australian open - 2018,R32,249481.3694288718,
2019,australian open - 2019,R32,255818.19621236518,
2020,australian open - 2020,R32,262315.97839615925,
2021,australian open - 2021,R32,268978.80424742174,
2022,australian open - 2022,R32,275810.8658753063,
2023,australian open - 2023,R32,282816.4618685391,
2024,australian open - 2024,R32,290000.0,
