tourney_name,round,year,total Ace,total_df,total_bpSaved,total_1stWon,total_ace,total_bpFaced,total_SvGms,total_svpt,total_2ndWon,total_1stIn,%aces_por_punto,%doble_falta,%primer_serve_in,%primer_serve_won,%segundo_serve_won,%bp_saved,%bp_convertidos,%juegos_de_saques_ganados
roland garros,R64,2020,3.0,4.0,10.0,69.0,3.0,18.0,28.0,178.0,36.0,111.0,1.6853932584269662,2.247191011235955,62.35955056179775,62.16216216216216,53.73134328358209,55.55555555555556,55.55555555555556,100.0
roland garros,R64,2021,13.0,5.0,8.0,91.0,13.0,15.0,37.0,214.0,52.0,129.0,6.074766355140187,2.336448598130841,60.280373831775705,70.54263565891473,61.1764705882353,53.333333333333336,53.333333333333336,100.0
roland garros,R64,2022,13.0,6.0,22.0,109.0,13.0,32.0,38.0,274.0,52.0,166.0,4.744525547445255,2.18978102189781,60.58394160583942,65.66265060240963,48.148148148148145,68.75,68.75,100.0
roland garros,R64,2024,8.0,7.0,3.0,74.0,8.0,9.0,28.0,168.0,30.0,103.0,4.761904761904762,4.166666666666666,61.30952380952381,71.84466019417476,46.15384615384615,33.33333333333333,33.33333333333333,100.0
us open,F,2024,16.0,9.0,11.0,74.0,16.0,19.0,31.0,175.0,36.0,96.0,9.142857142857142,5.142857142857142,54.85714285714286,77.08333333333334,45.56962025316456,57.89473684210527,57.89473684210527,100.0
us open,QF,2024,9.0,7.0,16.0,80.0,9.0,23.0,32.0,206.0,48.0,112.0,4.368932038834951,3.3980582524271843,54.36893203883495,71.42857142857143,51.06382978723404,69.56521739130434,69.56521739130434,100.0
us open,R128,2021,24.0,12.0,17.0,89.0,24.0,25.0,36.0,232.0,56.0,122.0,10.344827586206897,5.172413793103448,52.58620689655172,72.95081967213115,50.90909090909091,68.0,68.0,100.0
us open,R128,2022,22.0,7.0,14.0,101.0,22.0,24.0,43.0,248.0,56.0,148.0,8.870967741935484,2.82258064516129,59.67741935483871,68.24324324324324,56.00000000000001,58.333333333333336,58.333333333333336,100.0
us open,R128,2023,12.0,6.0,13.0,68.0,12.0,19.0,23.0,174.0,34.0,104.0,6.896551724137931,3.4482758620689653,59.77011494252874,65.38461538461539,48.57142857142857,68.42105263157895,68.42105263157895,100.0
us open,R128,2024,15.0,11.0,14.0,70.0,15.0,26.0,31.0,192.0,39.0,109.0,7.8125,5.729166666666666,56.770833333333336,64.22018348623854,46.98795180722892,53.84615384615385,53.84615384615385,100.0
us open,R16,2022,10.0,27.0,20.0,107.0,10.0,40.0,46.0,300.0,56.0,164.0,3.3333333333333335,9.0,54.666666666666664,65.2439024390244,41.17647058823529,50.0,50.0,100.0
us open,R16,2024,14.0,4.0,12.0,82.0,14.0,18.0,31.0,209.0,47.0,115.0,6.698564593301436,1.9138755980861244,55.02392344497608,71.30434782608695,50.0,66.66666666666666,66.66666666666666,100.0
us open,R32,2021,26.0,15.0,19.0,137.0,26.0,32.0,51.0,336.0,66.0,193.0,7.738095238095238,4.464285714285714,57.44047619047619,70.98445595854922,46.15384615384615,59.375,59.375,100.0
us open,R32,2022,19.0,7.0,19.0,95.0,19.0,27.0,34.0,234.0,45.0,139.0,8.11965811965812,2.9914529914529915,59.401709401709404,68.34532374100719,47.368421052631575,70.37037037037037,70.37037037037037,100.0
us open,R32,2023,20.0,9.0,17.0,85.0,20.0,25.0,35.0,231.0,52.0,126.0,8.658008658008658,3.896103896103896,54.54545454545454,67.46031746031747,49.523809523809526,68.0,68.0,100.0
us open,R32,2024,20.0,6.0,5.0,63.0,20.0,10.0,25.0,149.0,31.0,90.0,13.422818791946309,4.026845637583892,60.40268456375839,70.0,52.54237288135594,50.0,50.0,100.0
us open,R64,2021,15.0,6.0,16.0,129.0,15.0,24.0,45.0,297.0,57.0,173.0,5.05050505050505,2.0202020202020203,58.24915824915825,74.56647398843931,45.96774193548387,66.66666666666666,66.66666666666666,100.0
us open,R64,2022,24.0,10.0,11.0,91.0,24.0,16.0,31.0,195.0,38.0,122.0,12.307692307692308,5.128205128205128,62.56410256410256,74.59016393442623,52.054794520547944,68.75,68.75,100.0
us open,R64,2023,8.0,2.0,4.0,68.0,8.0,8.0,28.0,155.0,42.0,93.0,5.161290322580645,1.2903225806451613,60.0,73.11827956989248,67.74193548387096,50.0,50.0,100.0
us open,R64,2024,6.0,7.0,11.0,58.0,6.0,21.0,24.0,138.0,20.0,80.0,4.3478260869565215,5.072463768115942,57.971014492753625,72.5,34.48275862068966,52.38095238095239,52.38095238095239,100.0
us open,SF,2024,19.0,12.0,10.0,91.0,19.0,15.0,32.0,227.0,57.0,126.0,8.370044052863436,5.286343612334802,55.50660792951542,72.22222222222221,56.43564356435643,66.66666666666666,66.66666666666666,100.0
wimbledon,QF,2023,22.0,9.0,9.0,82.0,22.0,17.0,35.0,193.0,45.0,113.0,11.398963730569948,4.66321243523316,58.549222797927456,72.56637168141593,56.25,52.94117647058824,52.94117647058824,100.0
wimbledon,R128,2022,19.0,6.0,13.0,102.0,19.0,20.0,39.0,248.0,60.0,138.0,7.661290322580645,2.4193548387096775,55.64516129032258,73.91304347826086,54.54545454545454,65.0,65.0,100.0
wimbledon,R128,2023,12.0,3.0,9.0,63.0,12.0,15.0,24.0,145.0,30.0,94.0,8.275862068965518,2.0689655172413794,64.82758620689654,67.02127659574468,58.82352941176471,60.0,60.0,100.0
wimbledon,R128,2024,28.0,6.0,10.0,111.0,28.0,16.0,37.0,240.0,43.0,151.0,11.666666666666666,2.5,62.916666666666664,73.50993377483444,48.31460674157304,62.5,62.5,100.0
wimbledon,R16,2022,13.0,8.0,15.0,114.0,13.0,19.0,39.0,264.0,63.0,163.0,4.924242424242424,3.0303030303030303,61.74242424242424,69.93865030674846,62.37623762376238,78.94736842105263,78.94736842105263,100.0
wimbledon,R16,2023,24.0,4.0,21.0,99.0,24.0,25.0,32.0,215.0,46.0,127.0,11.162790697674419,1.8604651162790697,59.06976744186046,77.95275590551181,52.27272727272727,84.0,84.0,100.0
wimbledon,R16,2024,22.0,4.0,3.0,96.0,22.0,8.0,30.0,186.0,30.0,132.0,11.827956989247312,2.1505376344086025,70.96774193548387,72.72727272727273,55.55555555555556,37.5,37.5,100.0
wimbledon,R32,2022,26.0,5.0,2.0,94.0,26.0,4.0,33.0,194.0,42.0,121.0,13.402061855670103,2.5773195876288657,62.371134020618555,77.68595041322314,57.534246575342465,50.0,50.0,100.0
wimbledon,R32,2023,23.0,17.0,8.0,86.0,23.0,15.0,36.0,213.0,56.0,109.0,10.7981220657277,7.981220657276995,51.173708920187785,78.89908256880734,53.84615384615385,53.333333333333336,53.333333333333336,100.0
wimbledon,R32,2024,13.0,3.0,3.0,69.0,13.0,8.0,25.0,140.0,26.0,87.0,9.285714285714286,2.142857142857143,62.142857142857146,79.3103448275862,49.056603773584904,37.5,37.5,100.0
wimbledon,R64,2022,6.0,8.0,16.0,101.0,6.0,25.0,39.0,246.0,51.0,153.0,2.4390243902439024,3.2520325203252036,62.19512195121951,66.01307189542483,54.83870967741935,64.0,64.0,100.0
wimbledon,R64,2023,16.0,3.0,8.0,72.0,16.0,15.0,27.0,164.0,30.0,105.0,9.75609756097561,1.8292682926829267,64.02439024390245,68.57142857142857,50.847457627118644,53.333333333333336,53.333333333333336,100.0
wimbledon,R64,2024,38.0,5.0,11.0,154.0,38.0,17.0,44.0,297.0,46.0,204.0,12.794612794612794,1.6835016835016834,68.68686868686868,75.49019607843137,49.46236559139785,64.70588235294117,64.70588235294117,100.0
