tournament,year,attendance,event_capacity,utilization_pct,age_pct_young,age_pct_adult,age_pct_senior,sex_pct_male,sex_pct_female,region,surface,tv_market_focus,night_session
wimbledon,2019,425461,500000,85.09219999999999,0.29,0.49,0.23,0.48,0.52,europe,grass,europe daytime/evening,no
us_open,2019,627665,700000,89.66642857142857,0.32,0.48,0.2,0.54,0.46,north_america,hard,us prime time / europe late night,yes
australian_open,2020,959310,900000,106.59,0.3,0.48,0.22,0.5,0.5,oceania,hard,global (eu+us morning/evening),yes
roland_garros,2020,626850,600000,104.47500000000001,0.32,0.53,0.15,0.5,0.5,europe,clay,europe prime time,no
wimbledon,2020,488735,500000,97.747,0.28,0.52,0.2,0.47,0.53,europe,grass,europe daytime/evening,no
us_open,2020,697743,700000,99.67757142857143,0.34,0.46,0.2,0.51,0.49,north_america,hard,us prime time / europe late night,yes
australian_open,2021,730104,900000,81.12266666666666,0.32,0.46,0.22,0.54,0.46,oceania,hard,global (eu+us morning/evening),yes
roland_garros,2021,494672,600000,82.44533333333334,0.35,0.53,0.12,0.51,0.49,europe,clay,europe prime time,yes
wimbledon,2021,513074,500000,102.6148,0.33,0.54,0.13,0.48,0.52,europe,grass,europe daytime/evening,no
us_open,2021,676170,700000,96.59571428571428,0.26,0.51,0.23,0.47,0.53,north_america,hard,us prime time / europe late night,yes
australian_open,2022,863948,900000,95.99422222222222,0.31,0.5,0.2,0.5,0.5,oceania,hard,global (eu+us morning/evening),yes
roland_garros,2022,613356,600000,102.226,0.33,0.5,0.17,0.51,0.49,europe,clay,europe prime time,yes
wimbledon,2022,537331,500000,107.4662,0.26,0.46,0.28,0.46,0.54,europe,grass,europe daytime/evening,no
us_open,2022,692329,700000,98.90414285714286,0.29,0.53,0.18,0.52,0.48,north_america,hard,us prime time / europe late night,yes
australian_open,2023,800275,900000,88.91944444444444,0.34,0.53,0.13,0.48,0.52,oceania,hard,global (eu+us morning/evening),yes
roland_garros,2023,539270,600000,89.87833333333334,0.28,0.47,0.25,0.46,0.54,europe,clay,europe prime time,yes
wimbledon,2023,539128,500000,107.82560000000001,0.29,0.49,0.22,0.52,0.48,europe,grass,europe daytime/evening,no
us_open,2023,670620,700000,95.80285714285715,0.34,0.53,0.13,0.5,0.5,north_america,hard,us prime time / europe late night,yes
australian_open,2024,813894,900000,90.43266666666666,0.35,0.52,0.13,0.55,0.45,oceania,hard,global (eu+us morning/evening),yes
roland_garros,2024,493949,600000,82.32483333333333,0.34,0.51,0.15,0.46,0.54,europe,clay,europe prime time,yes
wimbledon,2024,485474,500000,97.0948,0.32,0.45,0.23,0.5,0.5,europe,grass,europe daytime/evening,no
us_open,2024,731853,700000,104.55042857142858,0.28,0.5,0.22,0.49,0.51,north_america,hard,us prime time / europe late night,yes
