tournament,year,attendance,capacity,utilization_rate,pct_under_30,pct_over_50,pct_female,pct_male,region,surface,tv_viewers_millions,night_sessions
Roland Garros,2013,644636,650000,0.9917476923076923,34.24166460548178,27.82304934315478,46.22580911091066,53.77419088908934,Europe,Clay,65.4493599007219,8
Wimbledon,2013,461482,500000,0.922964,39.60040261794299,34.883954651431544,40.27656258193987,59.72343741806013,Europe,Grass,115.6262511938681,11
US Open,2013,597227,850000,0.70262,31.11327162831362,27.862089600727593,41.54899569300746,58.45100430699254,North America,Hard,92.18715795888,11
Australian Open,2014,837360,900000,0.9304,35.95285270560997,23.267066866912444,49.062814822262105,50.937185177737895,Oceania,Hard,49.75394442579705,7
Roland Garros,2014,673084,650000,1.0355138461538462,31.93554828408309,34.38043679820207,47.42315235407911,52.57684764592089,Europe,Clay,56.09543553362596,11
Wimbledon,2014,473213,500000,0.946426,38.81220088378906,27.059131590669914,48.61330640648176,51.38669359351824,Europe,Grass,77.06031151676902,5
US Open,2014,751009,850000,0.88354,28.640828342901262,22.259147147369138,40.74230996272336,59.25769003727664,North America,Hard,89.2905774347781,10
Australian Open,2015,807122,900000,0.8968022222222222,31.58249249260725,32.68194580919346,43.62792547856884,56.37207452143116,Oceania,Hard,48.87946789806836,8
Roland Garros,2015,505409,650000,0.7775523076923077,36.75785219353342,26.03059714084296,46.89136924169859,53.10863075830141,Europe,Clay,110.81286568635724,12
Wimbledon,2015,440543,500000,0.881086,36.248583219639244,22.818864272788247,46.17544545164564,53.82455454835436,Europe,Grass,47.979705932978604,11
US Open,2015,691014,850000,0.8129576470588236,29.654661937590316,29.406185407032478,41.46446411375457,58.53553588624543,North America,Hard,42.14028213121858,10
Australian Open,2016,909860,900000,1.0109555555555556,39.52313961304657,25.346075174194183,49.94891608642383,50.05108391357617,Oceania,Hard,85.98574537024456,6
Roland Garros,2016,589861,650000,0.9074784615384616,33.71926664797325,24.648484116519057,46.54805597281147,53.45194402718853,Europe,Clay,114.11652577816267,10
Wimbledon,2016,438130,500000,0.87626,26.108938192731134,33.708257764569055,41.75326762337563,58.24673237662437,Europe,Grass,105.73526008849915,14
US Open,2016,609430,850000,0.7169764705882353,25.62344396827875,21.72034283923345,43.83431417409005,56.16568582590995,North America,Hard,91.46993927975397,12
Australian Open,2017,659945,900000,0.7332722222222222,32.28337767948259,25.16662586880647,44.520840993688374,55.479159006311626,Oceania,Hard,59.479465169897885,13
Roland Garros,2017,498799,650000,0.767383076923077,29.11784613733089,30.446550313323574,42.67359186427848,57.32640813572152,Europe,Clay,74.99379891938385,11
Wimbledon,2017,478185,500000,0.95637,32.93720022728938,26.619529579986228,41.54310220481854,58.45689779518146,Europe,Grass,80.03865484938534,6
US Open,2017,891495,850000,1.0488176470588235,30.770661485047032,20.99717445583394,43.6063600997605,56.3936399002395,North America,Hard,83.49630951082605,8
Australian Open,2018,662115,900000,0.7356833333333334,31.232748902696844,27.672637468907528,47.082264022836185,52.917735977163815,Oceania,Hard,93.87850376501146,13
Roland Garros,2018,670087,650000,1.030903076923077,25.190972977049817,29.967885897009324,45.26294892756679,54.73705107243321,Europe,Clay,65.58525137231412,6
Wimbledon,2018,426016,500000,0.852032,35.952078645442896,21.495660054970482,47.86066739825675,52.13933260174325,Europe,Grass,100.42420964353124,12
US Open,2018,814712,850000,0.9584847058823529,31.045381014052648,34.75642209100505,48.66734383541504,51.33265616458496,North America,Hard,103.26704611294576,5
Australian Open,2019,636160,900000,0.7068444444444445,30.815116751265602,28.35540332085504,43.129722288945445,56.870277711054555,Oceania,Hard,85.25669800844986,11
Roland Garros,2019,504464,650000,0.7760984615384615,28.308185389547997,30.80875182697934,49.521745615092286,50.478254384907714,Europe,Clay,104.89776208161022,11
Wimbledon,2019,457892,500000,0.915784,31.341000307155063,21.825319693548217,41.570126480296,58.429873519704,Europe,Grass,113.36785063041133,9
US Open,2019,829107,850000,0.97542,29.952230606858453,20.340259623943993,46.477971320692866,53.522028679307134,North America,Hard,93.52423650033629,11
Australian Open,2020,637110,900000,0.7079,35.48708978160146,29.497101778157685,45.63557322816666,54.36442677183334,Oceania,Hard,89.22061434876413,14
Roland Garros,2020,521853,650000,0.8028507692307693,34.428754651457794,29.703037064946958,45.25299675027924,54.74700324972076,Europe,Clay,73.95957020470763,11
Wimbledon,2020,411331,500000,0.822662,34.774691376379074,30.39088021136762,44.01019176424146,55.98980823575854,Europe,Grass,101.9540112027808,5
US Open,2020,743099,850000,0.8742341176470588,26.201893149149853,20.10625243671854,44.19416836418652,55.80583163581348,North America,Hard,53.1683156621111,13
Australian Open,2021,755319,900000,0.8392433333333333,36.55338151277806,34.467912459527355,40.15666394450721,59.84333605549279,Oceania,Hard,118.44022365406117,14
Roland Garros,2021,514425,650000,0.7914230769230769,26.650644633517516,31.073443252592767,41.79546239989337,58.20453760010663,Europe,Clay,107.46918926514076,9
Wimbledon,2021,451409,500000,0.902818,29.734954951610582,30.59143683938629,44.690323508634435,55.309676491365565,Europe,Grass,96.95756291130947,7
US Open,2021,598181,850000,0.7037423529411765,34.37719842129853,24.79242302760779,41.715910745492955,58.284089254507045,North America,Hard,100.14641231051684,14
Australian Open,2022,866218,900000,0.9624644444444445,25.48328437034366,26.143139293877915,49.52421613963813,50.47578386036187,Oceania,Hard,41.07305820170731,6
Roland Garros,2022,550774,650000,0.8473446153846154,36.843640570691036,31.437677339569188,45.22027771388599,54.77972228611401,Europe,Clay,52.798864948113334,7
Wimbledon,2022,488381,500000,0.976762,31.223962445906082,24.6811927573712,42.14682156709879,57.85317843290121,Europe,Grass,106.76931809209563,6
US Open,2022,747811,850000,0.8797776470588236,29.674440601444118,22.916773595668694,48.11881173337285,51.88118826662715,North America,Hard,51.270098127070696,6
Australian Open,2023,938387,900000,1.0426522222222223,26.477105682687547,34.570786732046415,41.42257108662422,58.57742891337578,Oceania,Hard,58.24756676971682,6
Roland Garros,2023,495725,650000,0.7626538461538461,25.761193205926148,24.952711392155,42.18029809344528,57.81970190655472,Europe,Clay,83.2722850136987,13
Wimbledon,2023,398523,500000,0.797046,30.70637147007274,33.03375444954105,45.43671855267222,54.56328144732778,Europe,Grass,61.45684449037367,8
US Open,2023,794513,850000,0.9347211764705883,25.796985149802374,29.391117621421724,45.50950563994414,54.49049436005586,North America,Hard,68.58320581302156,5
Australian Open,2024,789666,900000,0.8774066666666667,36.76778000448728,33.19411022549744,43.8438429482087,56.1561570517913,Oceania,Hard,66.53772804727265,11
Roland Garros,2024,675903,650000,1.0398507692307692,26.224653061295705,30.342112392382226,42.35649337488153,57.64350662511847,Europe,Clay,63.40957429478618,10
Wimbledon,2024,376475,500000,0.75295,25.555397448911194,33.718355066528936,41.12771131296762,58.87228868703238,Europe,Grass,112.04225589716226,14
US Open,2024,881813,850000,1.0374270588235295,38.45919802139794,20.726341491407755,46.2690905303372,53.7309094696628,North America,Hard,99.45140304442042,6
