id_torneo_ronda,tourney key,round
US OPEN - 2012 - SF,US OPEN - 2012,SF
US OPEN - 2013 - SF,US OPEN - 2013,SF
US OPEN - 2014 - SF,US OPEN - 2014,SF
US OPEN - 2015 - SF,US OPEN - 2015,SF
US OPEN - 2016 - SF,US OPEN - 2016,SF
US OPEN - 2017 - SF,US OPEN - 2017,SF
US OPEN - 2018 - SF,US OPEN - 2018,SF
US OPEN - 2019 - SF,US OPEN - 2019,SF
US OPEN - 2020 - SF,US OPEN - 2020,SF
US OPEN - 2021 - SF,US OPEN - 2021,SF
US OPEN - 2022 - SF,US OPEN - 2022,SF
US OPEN - 2023 - SF,US OPEN - 2023,SF
US OPEN - 2024 - SF,US OPEN - 2024,SF
ROLAND GARROS - 2000 - SF,ROLAND GARROS - 2000,SF
ROLAND GARROS - 2001 - SF,ROLAND GARROS - 2001,SF
ROLAND GARROS - 2002 - SF,ROLAND GARROS - 2002,SF
ROLAND GARROS - 2003 - SF,ROLAND GARROS - 2003,SF
ROLAND GARROS - 2004 - SF,ROLAND GARROS - 2004,SF
ROLAND GARROS - 2005 - SF,ROLAND GARROS - 2005,SF
ROLAND GARROS - 2006 - SF,ROLAND GARROS - 2006,SF
ROLAND GARROS - 2007 - SF,ROLAND GARROS - 2007,SF
ROLAND GARROS - 2008 - SF,ROLAND GARROS - 2008,SF
ROLAND GARROS - 2009 - SF,ROLAND GARROS - 2009,SF
ROLAND GARROS - 2010 - SF,ROLAND GARROS - 2010,SF
ROLAND GARROS - 2011 - SF,ROLAND GARROS - 2011,SF
ROLAND GARROS - 2012 - SF,ROLAND GARROS - 2012,SF
ROLAND GARROS - 2013 - SF,ROLAND GARROS - 2013,SF
ROLAND GARROS - 2014 - SF,ROLAND GARROS - 2014,SF
ROLAND GARROS - 2015 - SF,ROLAND GARROS - 2015,SF
ROLAND GARROS - 2016 - SF,ROLAND GARROS - 2016,SF
ROLAND GARROS - 2017 - SF,ROLAND GARROS - 2017,SF
ROLAND GARROS - 2018 - SF,ROLAND GARROS - 2018,SF
ROLAND GARROS - 2019 - SF,ROLAND GARROS - 2019,SF
ROLAND GARROS - 2020 - SF,ROLAND GARROS - 2020,SF
ROLAND GARROS - 2021 - SF,ROLAND GARROS - 2021,SF
ROLAND GARROS - 2022 - SF,ROLAND GARROS - 2022,SF
ROLAND GARROS - 2023 - SF,ROLAND GARROS - 2023,SF
ROLAND GARROS - 2024 - SF,ROLAND GARROS - 2024,SF
WIMBLEDON - 2000 - SF,WIMBLEDON - 2000,SF
WIMBLEDON - 2001 - SF,WIMBLEDON - 2001,SF
WIMBLEDON - 2002 - SF,WIMBLEDON - 2002,SF
WIMBLEDON - 2003 - SF,WIMBLEDON - 2003,SF
WIMBLEDON - 2004 - SF,WIMBLEDON - 2004,SF
WIMBLEDON - 2005 - SF,WIMBLEDON - 2005,SF
WIMBLEDON - 2006 - SF,WIMBLEDON - 2006,SF
WIMBLEDON - 2007 - SF,WIMBLEDON - 2007,SF
WIMBLEDON - 2008 - SF,WIMBLEDON - 2008,SF
WIMBLEDON - 2009 - SF,WIMBLEDON - 2009,SF
WIMBLEDON - 2010 - SF,WIMBLEDON - 2010,SF
WIMBLEDON - 2011 - SF,WIMBLEDON - 2011,SF
WIMBLEDON - 2012 - SF,WIMBLEDON - 2012,SF
WIMBLEDON - 2013 - SF,WIMBLEDON - 2013,SF
WIMBLEDON - 2014 - SF,WIMBLEDON - 2014,SF
WIMBLEDON - 2015 - SF,WIMBLEDON - 2015,SF
WIMBLEDON - 2016 - SF,WIMBLEDON - 2016,SF
WIMBLEDON - 2017 - SF,WIMBLEDON - 2017,SF
WIMBLEDON - 2018 - SF,WIMBLEDON - 2018,SF
WIMBLEDON - 2019 - SF,WIMBLEDON - 2019,SF
WIMBLEDON - 2020 - SF,WIMBLEDON - 2020,SF
WIMBLEDON - 2021 - SF,WIMBLEDON - 2021,SF
WIMBLEDON - 2022 - SF,WIMBLEDON - 2022,SF
WIMBLEDON - 2023 - SF,WIMBLEDON - 2023,SF
WIMBLEDON - 2024 - SF,WIMBLEDON - 2024,SF
AUSTRALIAN OPEN - 2000 - SF,AUSTRALIAN OPEN - 2000,SF
AUSTRALIAN OPEN - 2001 - SF,AUSTRALIAN OPEN - 2001,SF
AUSTRALIAN OPEN - 2002 - SF,AUSTRALIAN OPEN - 2002,SF
AUSTRALIAN OPEN - 2003 - SF,AUSTRALIAN OPEN - 2003,SF
AUSTRALIAN OPEN - 2004 - SF,AUSTRALIAN OPEN - 2004,SF
AUSTRALIAN OPEN - 2005 - SF,AUSTRALIAN OPEN - 2005,SF
AUSTRALIAN OPEN - 2006 - SF,AUSTRALIAN OPEN - 2006,SF
AUSTRALIAN OPEN - 2007 - SF,AUSTRALIAN OPEN - 2007,SF
AUSTRALIAN OPEN - 2008 - SF,AUSTRALIAN OPEN - 2008,SF
AUSTRALIAN OPEN - 2009 - SF,AUSTRALIAN OPEN - 2009,SF
AUSTRALIAN OPEN - 2010 - SF,AUSTRALIAN OPEN - 2010,SF
AUSTRALIAN OPEN - 2011 - SF,AUSTRALIAN OPEN - 2011,SF
AUSTRALIAN OPEN - 2012 - SF,AUSTRALIAN OPEN - 2012,SF
AUSTRALIAN OPEN - 2013 - SF,AUSTRALIAN OPEN - 2013,SF
AUSTRALIAN OPEN - 2014 - SF,AUSTRALIAN OPEN - 2014,SF
AUSTRALIAN OPEN - 2015 - SF,AUSTRALIAN OPEN - 2015,SF
AUSTRALIAN OPEN - 2016 - SF,AUSTRALIAN OPEN - 2016,SF
AUSTRALIAN OPEN - 2017 - SF,AUSTRALIAN OPEN - 2017,SF
AUSTRALIAN OPEN - 2018 - SF,AUSTRALIAN OPEN - 2018,SF
AUSTRALIAN OPEN - 2019 - SF,AUSTRALIAN OPEN - 2019,SF
AUSTRALIAN OPEN - 2020 - SF,AUSTRALIAN OPEN - 2020,SF
AUSTRALIAN OPEN - 2021 - SF,AUSTRALIAN OPEN - 2021,SF
AUSTRALIAN OPEN - 2022 - SF,AUSTRALIAN OPEN - 2022,SF
AUSTRALIAN OPEN - 2023 - SF,AUSTRALIAN OPEN - 2023,SF
AUSTRALIAN OPEN - 2024 - SF,AUSTRALIAN OPEN - 2024,SF
US OPEN - 2000 - QF,US OPEN - 2000,QF
US OPEN - 2001 - QF,US OPEN - 2001,QF
US OPEN - 2002 - QF,US OPEN - 2002,QF
US OPEN - 2003 - QF,US OPEN - 2003,QF
US OPEN - 2004 - QF,US OPEN - 2004,QF
US OPEN - 2005 - QF,US OPEN - 2005,QF
US OPEN - 2006 - QF,US OPEN - 2006,QF
US OPEN - 2007 - QF,US OPEN - 2007,QF
US OPEN - 2008 - QF,US OPEN - 2008,QF
US OPEN - 2009 - QF,US OPEN - 2009,QF
US OPEN - 2010 - QF,US OPEN - 2010,QF
US OPEN - 2011 - QF,US OPEN - 2011,QF
US OPEN - 2012 - QF,US OPEN - 2012,QF
US OPEN - 2013 - QF,US OPEN - 2013,QF
US OPEN - 2014 - QF,US OPEN - 2014,QF
US OPEN - 2015 - QF,US OPEN - 2015,QF
US OPEN - 2016 - QF,US OPEN - 2016,QF
US OPEN - 2017 - QF,US OPEN - 2017,QF
US OPEN - 2018 - QF,US OPEN - 2018,QF
US OPEN - 2019 - QF,US OPEN - 2019,QF
US OPEN - 2020 - QF,US OPEN - 2020,QF
US OPEN - 2021 - QF,US OPEN - 2021,QF
US OPEN - 2022 - QF,US OPEN - 2022,QF
US OPEN - 2023 - QF,US OPEN - 2023,QF
US OPEN - 2024 - QF,US OPEN - 2024,QF
ROLAND GARROS - 2000 - QF,ROLAND GARROS - 2000,QF
ROLAND GARROS - 2001 - QF,ROLAND GARROS - 2001,QF
ROLAND GARROS - 2002 - QF,ROLAND GARROS - 2002,QF
ROLAND GARROS - 2003 - QF,ROLAND GARROS - 2003,QF
ROLAND GARROS - 2004 - QF,ROLAND GARROS - 2004,QF
ROLAND GARROS - 2005 - QF,ROLAND GARROS - 2005,QF
ROLAND GARROS - 2006 - QF,ROLAND GARROS - 2006,QF
ROLAND GARROS - 2007 - QF,ROLAND GARROS - 2007,QF
ROLAND GARROS - 2008 - QF,ROLAND GARROS - 2008,QF
ROLAND GARROS - 2009 - QF,ROLAND GARROS - 2009,QF
ROLAND GARROS - 2010 - QF,ROLAND GARROS - 2010,QF
ROLAND GARROS - 2011 - QF,ROLAND GARROS - 2011,QF
ROLAND GARROS - 2012 - QF,ROLAND GARROS - 2012,QF
ROLAND GARROS - 2013 - QF,ROLAND GARROS - 2013,QF
ROLAND GARROS - 2014 - QF,ROLAND GARROS - 2014,QF
ROLAND GARROS - 2015 - QF,ROLAND GARROS - 2015,QF
ROLAND GARROS - 2016 - QF,ROLAND GARROS - 2016,QF
ROLAND GARROS - 2017 - QF,ROLAND GARROS - 2017,QF
ROLAND GARROS - 2018 - QF,ROLAND GARROS - 2018,QF
ROLAND GARROS - 2019 - QF,ROLAND GARROS - 2019,QF
ROLAND GARROS - 2020 - QF,ROLAND GARROS - 2020,QF
ROLAND GARROS - 2021 - QF,ROLAND GARROS - 2021,QF
ROLAND GARROS - 2022 - QF,ROLAND GARROS - 2022,QF
ROLAND GARROS - 2023 - QF,ROLAND GARROS - 2023,QF
ROLAND GARROS - 2024 - QF,ROLAND GARROS - 2024,QF
WIMBLEDON - 2000 - QF,WIMBLEDON - 2000,QF
WIMBLEDON - 2001 - QF,WIMBLEDON - 2001,QF
WIMBLEDON - 2002 - QF,WIMBLEDON - 2002,QF
WIMBLEDON - 2003 - QF,WIMBLEDON - 2003,QF
WIMBLEDON - 2004 - QF,WIMBLEDON - 2004,QF
WIMBLEDON - 2005 - QF,WIMBLEDON - 2005,QF
WIMBLEDON - 2006 - QF,WIMBLEDON - 2006,QF
WIMBLEDON - 2007 - QF,WIMBLEDON - 2007,QF
WIMBLEDON - 2008 - QF,WIMBLEDON - 2008,QF
WIMBLEDON - 2009 - QF,WIMBLEDON - 2009,QF
WIMBLEDON - 2010 - QF,WIMBLEDON - 2010,QF
WIMBLEDON - 2011 - QF,WIMBLEDON - 2011,QF
WIMBLEDON - 2012 - QF,WIMBLEDON - 2012,QF
WIMBLEDON - 2013 - QF,WIMBLEDON - 2013,QF
WIMBLEDON - 2014 - QF,WIMBLEDON - 2014,QF
WIMBLEDON - 2015 - QF,WIMBLEDON - 2015,QF
WIMBLEDON - 2016 - QF,WIMBLEDON - 2016,QF
WIMBLEDON - 2017 - QF,WIMBLEDON - 2017,QF
WIMBLEDON - 2018 - QF,WIMBLEDON - 2018,QF
WIMBLEDON - 2019 - QF,WIMBLEDON - 2019,QF
WIMBLEDON - 2020 - QF,WIMBLEDON - 2020,QF
WIMBLEDON - 2021 - QF,WIMBLEDON - 2021,QF
WIMBLEDON - 2022 - QF,WIMBLEDON - 2022,QF
WIMBLEDON - 2023 - QF,WIMBLEDON - 2023,QF
WIMBLEDON - 2024 - QF,WIMBLEDON - 2024,QF
AUSTRALIAN OPEN - 2000 - QF,AUSTRALIAN OPEN - 2000,QF
AUSTRALIAN OPEN - 2001 - QF,AUSTRALIAN OPEN - 2001,QF
AUSTRALIAN OPEN - 2002 - QF,AUSTRALIAN OPEN - 2002,QF
AUSTRALIAN OPEN - 2003 - QF,AUSTRALIAN OPEN - 2003,QF
AUSTRALIAN OPEN - 2004 - QF,AUSTRALIAN OPEN - 2004,QF
AUSTRALIAN OPEN - 2005 - QF,AUSTRALIAN OPEN - 2005,QF
AUSTRALIAN OPEN - 2006 - QF,AUSTRALIAN OPEN - 2006,QF
AUSTRALIAN OPEN - 2007 - QF,AUSTRALIAN OPEN - 2007,QF
AUSTRALIAN OPEN - 2008 - QF,AUSTRALIAN OPEN - 2008,QF
AUSTRALIAN OPEN - 2009 - QF,AUSTRALIAN OPEN - 2009,QF
AUSTRALIAN OPEN - 2010 - QF,AUSTRALIAN OPEN - 2010,QF
AUSTRALIAN OPEN - 2011 - QF,AUSTRALIAN OPEN - 2011,QF
AUSTRALIAN OPEN - 2012 - QF,AUSTRALIAN OPEN - 2012,QF
AUSTRALIAN OPEN - 2013 - QF,AUSTRALIAN OPEN - 2013,QF
AUSTRALIAN OPEN - 2014 - QF,AUSTRALIAN OPEN - 2014,QF
AUSTRALIAN OPEN - 2015 - QF,AUSTRALIAN OPEN - 2015,QF
AUSTRALIAN OPEN - 2016 - QF,AUSTRALIAN OPEN - 2016,QF
AUSTRALIAN OPEN - 2017 - QF,AUSTRALIAN OPEN - 2017,QF
AUSTRALIAN OPEN - 2018 - QF,AUSTRALIAN OPEN - 2018,QF
AUSTRALIAN OPEN - 2019 - QF,AUSTRALIAN OPEN - 2019,QF
AUSTRALIAN OPEN - 2020 - QF,AUSTRALIAN OPEN - 2020,QF
AUSTRALIAN OPEN - 2021 - QF,AUSTRALIAN OPEN - 2021,QF
AUSTRALIAN OPEN - 2022 - QF,AUSTRALIAN OPEN - 2022,QF
AUSTRALIAN OPEN - 2023 - QF,AUSTRALIAN OPEN - 2023,QF
AUSTRALIAN OPEN - 2024 - QF,AUSTRALIAN OPEN - 2024,QF
US OPEN - 2000 - R16,US OPEN - 2000,R16
US OPEN - 2001 - R16,US OPEN - 2001,R16
US OPEN - 2002 - R16,US OPEN - 2002,R16
US OPEN - 2003 - R16,US OPEN - 2003,R16
US OPEN - 2004 - R16,US OPEN - 2004,R16
US OPEN - 2005 - R16,US OPEN - 2005,R16
US OPEN - 2006 - R16,US OPEN - 2006,R16
US OPEN - 2007 - R16,US OPEN - 2007,R16
US OPEN - 2008 - R16,US OPEN - 2008,R16
US OPEN - 2009 - R16,US OPEN - 2009,R16
US OPEN - 2010 - R16,US OPEN - 2010,R16
US OPEN - 2011 - R16,US OPEN - 2011,R16
US OPEN - 2012 - R16,US OPEN - 2012,R16
US OPEN - 2013 - R16,US OPEN - 2013,R16
US OPEN - 2014 - R16,US OPEN - 2014,R16
US OPEN - 2015 - R16,US OPEN - 2015,R16
US OPEN - 2016 - R16,US OPEN - 2016,R16
US OPEN - 2017 - R16,US OPEN - 2017,R16
US OPEN - 2018 - R16,US OPEN - 2018,R16
US OPEN - 2019 - R16,US OPEN - 2019,R16
