,ioc,full_name,tourney_date,winner_id,winner_age,score,round,minutes,tourney key,year
29,USA,Madison Keys,20160627,201619,21.3,6-4 5-7 6-2,R32,115.0,wimbledon-2016,2016
30,USA,Madison Keys,20160829,201619,21.5,4-6 7-6(5) 6-2,R128,145.0,us open-2016,2016
31,USA,Madison Keys,20160829,201619,21.5,6-1 6-1,R64,48.0,us open-2016,2016
32,USA,Madison Keys,20160829,201619,21.5,7-5 4-6 7-6(3),R32,127.0,us open-2016,2016
33,USA,Madison Keys,20160118,201619,20.9,7-6 6-1,R128,84.0,australian open-2016,2016
34,USA,Madison Keys,20160118,201619,20.9,6-7 6-3 6-3,R64,122.0,australian open-2016,2016
35,USA,Madison Keys,20160118,201619,20.9,4-6 6-4 6-4,R32,145.0,australian open-2016,2016
36,USA,Madison Keys,20170529,201619,22.2,6-3 6-2,R128,61.0,roland garros-2017,2017
37,USA,Madison Keys,20170703,201619,22.3,6-4 6-2,R128,66.0,wimbledon-2017,2017
38,USA,Madison Keys,20170828,201619,22.5,6-3 7-6(6),R128,90.0,us open-2017,2017
39,USA,Madison Keys,20170828,201619,22.5,6-3 6-4,R64,84.0,us open-2017,2017
40,USA,Madison Keys,20170828,201619,22.5,2-6 6-4 6-1,R32,114.0,us open-2017,2017
41,USA,Madison Keys,20170828,201619,22.5,7-6(2) 1-6 6-4,R16,120.0,us open-2017,2017
42,USA,Madison Keys,20170828,201619,22.5,6-3 6-3,QF,68.0,us open-2017,2017
43,USA,Madison Keys,20170828,201619,22.5,6-1 6-2,SF,66.0,us open-2017,2017
44,USA,Madison Keys,20180528,201619,23.2,6-3 6-3,R128,58.0,roland garros-2018,2018
45,USA,Madison Keys,20180528,201619,23.2,6-4 6-1,R64,69.0,roland garros-2018,2018
46,USA,Madison Keys,20180528,201619,23.2,6-1 7-6(7),R32,83.0,roland garros-2018,2018
47,USA,Madison Keys,20180528,201619,23.2,6-1 6-4,R16,65.0,roland garros-2018,2018
48,USA,Madison Keys,20180528,201619,23.2,7-6(5) 6-4,QF,84.0,roland garros-2018,2018
49,USA,Madison Keys,20180702,201619,23.3,6-4 6-2,R128,62.0,wimbledon-2018,2018
50,USA,Madison Keys,20180702,201619,23.3,6-4 6-3,R64,76.0,wimbledon-2018,2018
51,USA,Madison Keys,20180827,201619,23.5,6-4 6-4,R128,95.0,us open-2018,2018
52,USA,Madison Keys,20180827,201619,23.5,6-4 6-1,R64,72.0,us open-2018,2018
53,USA,Madison Keys,20180827,201619,23.5,4-6 6-1 6-2,R32,103.0,us open-2018,2018
54,USA,Madison Keys,20180827,201619,23.5,6-1 6-3,R16,76.0,us open-2018,2018
55,USA,Madison Keys,20180827,201619,23.5,6-4 6-3,QF,83.0,us open-2018,2018
56,USA,Madison Keys,20180115,201619,22.9,6-1 7-5,R128,68.0,australian open-2018,2018
57,USA,Madison Keys,20180115,201619,22.9,6-0 6-1,R64,41.0,australian open-2018,2018
58,USA,Madison Keys,20180115,201619,22.9,6-3 6-4,R32,73.0,australian open-2018,2018
59,USA,Madison Keys,20180115,201619,22.9,6-3 6-2,R16,68.0,australian open-2018,2018
60,USA,Madison Keys,20190527,201619,24.2,6-1 6-2,R128,56.0,roland garros-2019,2019
61,USA,Madison Keys,20190527,201619,24.2,7-5 5-7 6-3,R64,104.0,roland garros-2019,2019
62,USA,Madison Keys,20190527,201619,24.2,6-3 6-7(7) 6-4,R32,114.0,roland garros-2019,2019
63,USA,Madison Keys,20190527,201619,24.2,6-2 6-4,R16,76.0,roland garros-2019,2019
64,USA,Madison Keys,20190701,201619,24.3,6-3 6-2,R128,62.0,wimbledon-2019,2019
65,USA,Madison Keys,20190826,201619,24.5,7-5 6-0,R128,64.0,us open-2019,2019
66,USA,Madison Keys,20190826,201619,24.5,6-4 6-1,R64,69.0,us open-2019,2019
67,USA,Madison Keys,20190826,201619,24.5,6-3 7-5,R32,80.0,us open-2019,2019
68,USA,Madison Keys,20190114,201619,23.9,6-2 6-2,R128,71.0,australian open-2019,2019
69,USA,Madison Keys,20190114,201619,23.9,6-3 6-4,R64,81.0,australian open-2019,2019
70,USA,Madison Keys,20190114,201619,23.9,6-3 6-2,R32,73.0,australian open-2019,2019
71,USA,Madison Keys,20200120,201619,24.9,6-3 6-1,R128,57.0,australian open-2020,2020
72,USA,Madison Keys,20200120,201619,24.9,7-6(3) 6-2,R64,79.0,australian open-2020,2020
73,USA,Madison Keys,20200831,201619,25.5,6-1 6-1,R128,55.0,us open-2020,2020
74,USA,Madison Keys,20200831,201619,25.5,6-2 6-1,R64,54.0,us open-2020,2020
75,USA,Madison Keys,20210531,201619,26.2,6-3 3-6 6-1,R128,97.0,roland garros-2021,2021
76,USA,Madison Keys,20210531,201619,26.2,6-1 7-5,R64,93.0,roland garros-2021,2021
77,USA,Madison Keys,20210628,201619,26.3,6-3 6-4,R128,73.0,wimbledon-2021,2021
78,USA,Madison Keys,20210628,201619,26.3,6-1 6-4,R64,63.0,wimbledon-2021,2021
79,USA,Madison Keys,20210628,201619,26.3,7-5 6-3,R32,75.0,wimbledon-2021,2021
80,USA,Madison Keys,20220117,201619,26.9,7-6(2) 7-5,R128,91.0,australian open-2022,2022
81,USA,Madison Keys,20220117,201619,26.9,6-2 7-5,R64,90.0,australian open-2022,2022
82,USA,Madison Keys,20220117,201619,26.9,4-6 6-3 7-6(2),R32,141.0,australian open-2022,2022
83,USA,Madison Keys,20220117,201619,26.9,6-3 6-1,R16,69.0,australian open-2022,2022
84,USA,Madison Keys,20220117,201619,26.9,6-3 6-2,QF,85.0,australian open-2022,2022
85,USA,Madison Keys,20220523,201619,27.2,6-3 3-6 6-4,R128,,roland garros-2022,2022
86,USA,Madison Keys,20220523,201619,27.2,6-4 7-6(3),R64,,roland garros-2022,2022
87,USA,Madison Keys,20220523,201619,27.2,3-6 6-1 7-6(3),R32,,roland garros-2022,2022
88,USA,Madison Keys,20220829,201619,27.5,7-6(3) 6-3,R128,103.0,us open-2022,2022
89,USA,Madison Keys,20220829,201619,27.5,6-4 5-7 7-6(6),R64,142.0,us open-2022,2022
90,USA,Madison Keys,20230116,201619,27.9,6-4 3-6 6-2,R128,119.0,australian open-2023,2023
91,USA,Madison Keys,20230116,201619,27.9,6-3 6-2,R64,77.0,australian open-2023,2023
92,USA,Madison Keys,20230529,201619,28.2,6-1 3-6 6-1,R128,102.0,roland garros-2023,2023
93,USA,Madison Keys,20230703,201619,28.3,6-0 6-3,R128,75.0,wimbledon-2023,2023
94,USA,Madison Keys,20230703,201619,28.3,7-5 6-3,R64,80.0,wimbledon-2023,2023
95,USA,Madison Keys,20230703,201619,28.3,6-4 6-1,R32,76.0,wimbledon-2023,2023
96,USA,Madison Keys,20230703,201619,28.3,3-6 7-6(4) 6-2,R16,123.0,wimbledon-2023,2023
97,USA,Madison Keys,20230828,201619,28.5,6-2 6-4,R128,86.0,us open-2023,2023
98,USA,Madison Keys,20230828,201619,28.5,6-1 6-2,R64,54.0,us open-2023,2023
99,USA,Madison Keys,20230828,201619,28.5,5-7 6-2 6-2,R32,128.0,us open-2023,2023
100,USA,Madison Keys,20230828,201619,28.5,6-1 6-3,R16,61.0,us open-2023,2023
101,USA,Madison Keys,20230828,201619,28.5,6-1 6-4,QF,86.0,us open-2023,2023
102,USA,Madison Keys,20240527,201619,29.2,6-3 6-2,R128,,roland garros-2024,2024
103,USA,Madison Keys,20240527,201619,29.2,6-0 7-6(7),R64,,roland garros-2024,2024
104,USA,Madison Keys,20240701,201619,29.3,6-4 7-6(4),R128,105.0,wimbledon-2024,2024
105,USA,Madison Keys,20240701,201619,29.3,6-2 6-2,R64,77.0,wimbledon-2024,2024
106,USA,Madison Keys,20240701,201619,29.3,6-4 6-3,R32,81.0,wimbledon-2024,2024
107,USA,Madison Keys,20240826,201619,29.5,6-4 6-1,R128,64.0,us open-2024,2024
108,USA,Madison Keys,20240826,201619,29.5,6-4 6-0,R64,62.0,us open-2024,2024
109,USA,Jessica Pegula,20150831,202468,21.5,7-5 6-3,R128,,us open-2015,2015
110,USA,Jessica Pegula,20200831,202468,26.5,3-6 6-2 7-6(3),R128,169.0,us open-2020,2020
111,USA,Jessica Pegula,20200831,202468,26.5,7-6(1) 6-7(3) 6-3,R64,150.0,us open-2020,2020
112,USA,Jessica Pegula,20210208,202468,26.9,7-5 6-4,R128,99.0,australian open-2021,2021
113,USA,Jessica Pegula,20210208,202468,26.9,6-0 6-1,R64,50.0,australian open-2021,2021
114,USA,Jessica Pegula,20210208,202468,26.9,6-2 6-1,R32,68.0,australian open-2021,2021
115,USA,Jessica Pegula,20210208,202468,26.9,6-4 3-6 6-3,R16,115.0,australian open-2021,2021
116,USA,Jessica Pegula,20210531,202468,27.2,6-4 4-6 6-4,R128,142.0,roland garros-2021,2021
117,USA,Jessica Pegula,20210531,202468,27.2,6-3 6-3,R64,79.0,roland garros-2021,2021
118,USA,Jessica Pegula,20210628,202468,27.3,6-3 6-1,R128,61.0,wimbledon-2021,2021
119,USA,Jessica Pegula,20210830,202468,27.5,6-2 6-2,R128,64.0,us open-2021,2021
120,USA,Jessica Pegula,20210830,202468,27.5,6-3 6-2,R64,65.0,us open-2021,2021
121,USA,Jessica Pegula,20220117,202468,27.8,4-6 7-6(1) 7-5,R128,172.0,australian open-2022,2022
122,USA,Jessica Pegula,20220117,202468,27.8,6-4 6-4,R64,83.0,australian open-2022,2022
123,USA,Jessica Pegula,20220117,202468,27.8,7-6(3) 6-2,R32,91.0,australian open-2022,2022
124,USA,Jessica Pegula,20220117,202468,27.8,7-6(0) 6-3,R16,95.0,australian open-2022,2022
125,USA,Jessica Pegula,20220523,202468,28.2,6-2 6-4,R128,,roland garros-2022,2022
126,USA,Jessica Pegula,20220523,202468,28.2,6-1 5-7 6-4,R64,,roland garros-2022,2022
127,USA,Jessica Pegula,20220523,202468,28.2,6-1 7-6(2),R32,,roland garros-2022,2022
128,USA,Jessica Pegula,20220523,202468,28.2,4-6 6-2 6-3,R16,,roland garros-2022,2022
129,USA,Jessica Pegula,20220627,202468,28.3,6-3 7-6(2),R128,89.0,wimbledon-2022,2022
130,USA,Jessica Pegula,20220627,202468,28.3,4-6 6-3 6-1,R64,111.0,wimbledon-2022,2022
131,USA,Jessica Pegula,20220829,202468,28.5,6-2 6-2,R128,64.0,us open-2022,2022
132,USA,Jessica Pegula,20220829,202468,28.5,6-4 6-4,R64,79.0,us open-2022,2022
133,USA,Jessica Pegula,20220829,202468,28.5,6-2 6-7(6) 6-0,R32,123.0,us open-2022,2022
134,USA,Jessica Pegula,20220829,202468,28.5,6-3 6-2,R16,73.0,us open-2022,2022
135,USA,Jessica Pegula,20230116,202468,28.8,6-0 6-1,R128,59.0,australian open-2023,2023
136,USA,Jessica Pegula,20230116,202468,28.8,6-2 7-6(5),R64,91.0,australian open-2023,2023
137,USA,Jessica Pegula,20230116,202468,28.8,6-0 6-2,R32,65.0,australian open-2023,2023
138,USA,Jessica Pegula,20230116,202468,28.8,7-5 6-2,R16,101.0,australian open-2023,2023
139,USA,Jessica Pegula,20230529,202468,29.2,6-4 6-2,R128,83.0,roland garros-2023,2023
140,USA,Jessica Pegula,20230529,202468,29.2,6-2 0-0 RET,R64,38.0,roland garros-2023,2023
141,USA,Jessica Pegula,20230703,202468,29.3,6-2 6-7(8) 6-3,R128,140.0,wimbledon-2023,2023
142,USA,Jessica Pegula,20230703,202468,29.3,6-1 6-4,R64,63.0,wimbledon-2023,2023
143,USA,Jessica Pegula,20230703,202468,29.3,6-4 6-0,R32,75.0,wimbledon-2023,2023
144,USA,Jessica Pegula,20230703,202468,29.3,6-1 6-3,R16,75.0,wimbledon-2023,2023
145,USA,Jessica Pegula,20230828,202468,29.5,6-2 6-2,R128,82.0,us open-2023,2023
146,USA,Jessica Pegula,20230828,202468,29.5,6-3 6-1,R64,71.0,us open-2023,2023
147,USA,Jessica Pegula,20230828,202468,29.5,6-4 4-6 6-2,R32,111.0,us open-2023,2023
148,USA,Jessica Pegula,20240115,202468,29.8,6-2 6-4,R128,65.0,australian open-2024,2024
149,USA,Jessica Pegula,20240701,202468,30.3,6-2 6-0,R128,49.0,wimbledon-2024,2024
150,USA,Jessica Pegula,20240826,202468,30.5,6-4 6-3,R128,83.0,us open-2024,2024
151,USA,Jessica Pegula,20240826,202468,30.5,7-6(4) 6-3,R64,87.0,us open-2024,2024
152,USA,Jessica Pegula,20240826,202468,30.5,6-3 6-3,R32,70.0,us open-2024,2024
153,USA,Jessica Pegula,20240826,202468,30.5,6-4 6-2,R16,87.0,us open-2024,2024
154,USA,Jessica Pegula,20240826,202468,30.5,6-2 6-4,QF,88.0,us open-2024,2024
155,USA,Jessica Pegula,20240826,202468,30.5,1-6 6-4 6-2,SF,132.0,us open-2024,2024
156,ITA,Jasmine Paolini,20200928,211148,24.7,6-4 6-3,R128,74.0,roland garros-2020,2020
157,ITA,Jasmine Paolini,20210531,211148,25.4,7-5 6-1,R128,78.0,roland garros-2021,2021
158,ITA,Jasmine Paolini,20210830,211148,25.6,6-3 6-4,R128,66.0,us open-2021,2021
159,ITA,Jasmine Paolini,20230529,211148,27.3,7-5 2-6 6-2,R128,133.0,roland garros-2023,2023
160,ITA,Jasmine Paolini,20240115,211148,28.0,6-3 6-4,R128,69.0,australian open-2024,2024
161,ITA,Jasmine Paolini,20240115,211148,28.0,6-2 6-3,R64,70.0,australian open-2024,2024
162,ITA,Jasmine Paolini,20240115,211148,28.0,7-6(1) 6-4,R32,86.0,australian open-2024,2024
163,ITA,Jasmine Paolini,20240527,211148,28.3,6-3 6-4,R128,,roland garros-2024,2024
164,ITA,Jasmine Paolini,20240527,211148,28.3,6-4 7-6(6),R64,,roland garros-2024,2024
165,ITA,Jasmine Paolini,20240527,211148,28.3,6-1 3-6 6-0,R32,,roland garros-2024,2024
166,ITA,Jasmine Paolini,20240527,211148,28.3,4-6 6-0 6-1,R16,,roland garros-2024,2024
167,ITA,Jasmine Paolini,20240527,211148,28.3,6-2 4-6 6-4,QF,,roland garros-2024,2024
168,ITA,Jasmine Paolini,20240527,211148,28.3,6-3 6-1,SF,,roland garros-2024,2024
169,ITA,Jasmine Paolini,20240701,211148,28.4,7-5 6-3,R128,97.0,wimbledon-2024,2024
170,ITA,Jasmine Paolini,20240701,211148,28.4,7-6(5) 6-2,R64,92.0,wimbledon-2024,2024
171,ITA,Jasmine Paolini,20240701,211148,28.4,7-6(4) 6-1,R32,91.0,wimbledon-2024,2024
172,ITA,Jasmine Paolini,20240701,211148,28.4,6-3 6-7(6) 5-5 RET,R16,143.0,wimbledon-2024,2024
173,ITA,Jasmine Paolini,20240701,211148,28.4,6-2 6-1,QF,58.0,wimbledon-2024,2024
174,ITA,Jasmine Paolini,20240701,211148,28.4,2-6 6-4 7-6(8),SF,171.0,wimbledon-2024,2024
175,ITA,Jasmine Paolini,20240826,211148,28.6,6-7(5) 6-2 6-4,R128,168.0,us open-2024,2024
176,ITA,Jasmine Paolini,20240826,211148,28.6,RET,R64,,us open-2024,2024
177,ITA,Jasmine Paolini,20240826,211148,28.6,6-3 6-4,R32,93.0,us open-2024,2024
178,ESP,Paula Badosa,20200120,211651,22.1,6-1 6-0,R128,57.0,australian open-2020,2020
179,ESP,Paula Badosa,20200928,211651,22.8,6-2 4-6 6-3,R128,122.0,roland garros-2020,2020
180,ESP,Paula Badosa,20200928,211651,22.8,6-4 4-6 6-2,R64,100.0,roland garros-2020,2020
181,ESP,Paula Badosa,20200928,211651,22.8,6-4 6-3,R32,82.0,roland garros-2020,2020
182,ESP,Paula Badosa,20210531,211651,23.5,6-2 7-6(3),R128,100.0,roland garros-2021,2021
183,ESP,Paula Badosa,20210531,211651,23.5,6-2 6-0,R64,52.0,roland garros-2021,2021
184,ESP,Paula Badosa,20210531,211651,23.5,2-6 7-6(4) 6-4,R32,171.0,roland garros-2021,2021
185,ESP,Paula Badosa,20210531,211651,23.5,6-4 3-6 6-2,R16,110.0,roland garros-2021,2021
186,ESP,Paula Badosa,20210628,211651,23.6,6-2 5-7 6-2,R128,105.0,wimbledon-2021,2021
187,ESP,Paula Badosa,20210628,211651,23.6,6-4 6-1,R64,80.0,wimbledon-2021,2021
188,ESP,Paula Badosa,20210628,211651,23.6,5-7 6-2 6-4,R32,146.0,wimbledon-2021,2021
189,ESP,Paula Badosa,20210830,211651,23.7,6-4 6-3,R128,80.0,us open-2021,2021
190,ESP,Paula Badosa,20220117,211651,24.1,6-4 6-0,R128,82.0,australian open-2022,2022
191,ESP,Paula Badosa,20220117,211651,24.1,6-0 6-3,R64,71.0,australian open-2022,2022
192,ESP,Paula Badosa,20220117,211651,24.1,6-2 5-7 6-4,R32,139.0,australian open-2022,2022
193,ESP,Paula Badosa,20220523,211651,24.5,6-2 6-0,R128,,roland garros-2022,2022
194,ESP,Paula Badosa,20220523,211651,24.5,7-5 3-6 6-2,R64,,roland garros-2022,2022
195,ESP,Paula Badosa,20220627,211651,24.6,6-2 6-1,R128,56.0,wimbledon-2022,2022
196,ESP,Paula Badosa,20220627,211651,24.6,6-3 6-2,R64,72.0,wimbledon-2022,2022
197,ESP,Paula Badosa,20220627,211651,24.6,7-5 7-6(4),R32,125.0,wimbledon-2022,2022
198,ESP,Paula Badosa,20220829,211651,24.7,3-6 7-6(4) 6-3,R128,149.0,us open-2022,2022
199,ESP,Paula Badosa,20230703,211651,25.6,6-3 6-3,R128,69.0,wimbledon-2023,2023
200,ESP,Paula Badosa,20240115,211651,26.1,6-1 6-3,R128,57.0,australian open-2024,2024
201,ESP,Paula Badosa,20240115,211651,26.1,6-2 6-3,R64,72.0,australian open-2024,2024
202,ESP,Paula Badosa,20240527,211651,26.5,4-6 7-5 6-4,R128,,roland garros-2024,2024
203,ESP,Paula Badosa,20240527,211651,26.5,4-6 6-1 7-5,R64,,roland garros-2024,2024
204,ESP,Paula Badosa,20240701,211651,26.6,6-3 6-2,R128,81.0,wimbledon-2024,2024
205,ESP,Paula Badosa,20240701,211651,26.6,6-4 6-2,R64,80.0,wimbledon-2024,2024
206,ESP,Paula Badosa,20240701,211651,26.6,7-6(6) 4-6 6-4,R32,171.0,wimbledon-2024,2024
207,ESP,Paula Badosa,20240826,211651,26.7,6-0 6-3,R128,69.0,us open-2024,2024
208,ESP,Paula Badosa,20240826,211651,26.7,6-3 7-5,R64,100.0,us open-2024,2024
209,ESP,Paula Badosa,20240826,211651,26.7,4-6 6-1 7-6(8),R32,152.0,us open-2024,2024
210,ESP,Paula Badosa,20240826,211651,26.7,6-1 6-2,R16,82.0,us open-2024,2024
211,BLR,Aryna Sabalenka,20170703,214544,19.1,6-3 6-4,R128,71.0,wimbledon-2017,2017
212,BLR,Aryna Sabalenka,20180827,214544,20.3,6-0 4-6 6-4,R128,113.0,us open-2018,2018
213,BLR,Aryna Sabalenka,20180827,214544,20.3,6-3 7-6(7),R64,101.0,us open-2018,2018
214,BLR,Aryna Sabalenka,20180827,214544,20.3,7-5 6-1,R32,85.0,us open-2018,2018
215,BLR,Aryna Sabalenka,20190527,214544,21.0,7-5 6-1,R128,92.0,roland garros-2019,2019
216,BLR,Aryna Sabalenka,20190826,214544,21.3,3-6 6-3 6-4,R128,133.0,us open-2019,2019
217,BLR,Aryna Sabalenka,20190114,214544,20.6,6-1 6-4,R128,66.0,australian open-2019,2019
218,BLR,Aryna Sabalenka,20190114,214544,20.6,6-3 6-4,R64,73.0,australian open-2019,2019
219,BLR,Aryna Sabalenka,20200831,214544,22.3,7-6(1) 6-4,R128,90.0,us open-2020,2020
220,BLR,Aryna Sabalenka,20200928,214544,22.4,6-3 6-1,R128,73.0,roland garros-2020,2020
221,BLR,Aryna Sabalenka,20200928,214544,22.4,7-6(6) 6-0,R64,89.0,roland garros-2020,2020
222,BLR,Aryna Sabalenka,20210208,214544,22.7,6-0 6-4,R128,63.0,australian open-2021,2021
223,BLR,Aryna Sabalenka,20210208,214544,22.7,7-6(5) 6-3,R64,89.0,australian open-2021,2021
224,BLR,Aryna Sabalenka,20210208,214544,22.7,6-3 6-1,R32,60.0,australian open-2021,2021
225,BLR,Aryna Sabalenka,20210531,214544,23.0,6-4 6-3,R128,75.0,roland garros-2021,2021
226,BLR,Aryna Sabalenka,20210531,214544,23.0,7-5 6-3,R64,89.0,roland garros-2021,2021
227,BLR,Aryna Sabalenka,20210628,214544,23.1,6-1 6-4,R128,76.0,wimbledon-2021,2021
228,BLR,Aryna Sabalenka,20210628,214544,23.1,4-6 6-3 6-3,R64,126.0,wimbledon-2021,2021
229,BLR,Aryna Sabalenka,20210628,214544,23.1,6-0 6-3,R32,75.0,wimbledon-2021,2021
230,BLR,Aryna Sabalenka,20210628,214544,23.1,6-3 4-6 6-3,R16,109.0,wimbledon-2021,2021
231,BLR,Aryna Sabalenka,20210628,214544,23.1,6-4 6-3,QF,74.0,wimbledon-2021,2021
232,BLR,Aryna Sabalenka,20210830,214544,23.3,6-4 6-7(4) 6-0,R128,144.0,us open-2021,2021
233,BLR,Aryna Sabalenka,20210830,214544,23.3,6-3 6-1,R64,59.0,us open-2021,2021
234,BLR,Aryna Sabalenka,20210830,214544,23.3,6-3 6-3,R32,89.0,us open-2021,2021
235,BLR,Aryna Sabalenka,20210830,214544,23.3,6-4 6-1,R16,71.0,us open-2021,2021
236,BLR,Aryna Sabalenka,20210830,214544,23.3,6-1 6-4,QF,86.0,us open-2021,2021
237,BLR,Aryna Sabalenka,20220117,214544,23.7,5-7 6-3 6-2,R128,122.0,australian open-2022,2022
238,BLR,Aryna Sabalenka,20220117,214544,23.7,1-6 6-4 6-2,R64,115.0,australian open-2022,2022
239,BLR,Aryna Sabalenka,20220117,214544,23.7,4-6 6-3 6-1,R32,109.0,australian open-2022,2022
240,BLR,Aryna Sabalenka,20220523,214544,24.0,2-6 6-3 6-4,R128,,roland garros-2022,2022
241,BLR,Aryna Sabalenka,20220523,214544,24.0,6-1 6-3,R64,,roland garros-2022,2022
242,BLR,Aryna Sabalenka,20220829,214544,24.3,6-1 6-3,R128,88.0,us open-2022,2022
243,BLR,Aryna Sabalenka,20220829,214544,24.3,2-6 7-6(8) 6-4,R64,135.0,us open-2022,2022
244,BLR,Aryna Sabalenka,20220829,214544,24.3,6-0 6-2,R32,68.0,us open-2022,2022
245,BLR,Aryna Sabalenka,20220829,214544,24.3,3-6 6-3 6-2,R16,149.0,us open-2022,2022
246,BLR,Aryna Sabalenka,20220829,214544,24.3,6-1 7-6(4),QF,82.0,us open-2022,2022
247,BLR,Aryna Sabalenka,20230116,214544,24.7,6-1 6-4,R128,69.0,australian open-2023,2023
248,BLR,Aryna Sabalenka,20230116,214544,24.7,6-3 6-1,R64,87.0,australian open-2023,2023
249,BLR,Aryna Sabalenka,20230116,214544,24.7,6-2 6-3,R32,74.0,australian open-2023,2023
250,BLR,Aryna Sabalenka,20230116,214544,24.7,7-5 6-2,R16,87.0,australian open-2023,2023
251,BLR,Aryna Sabalenka,20230116,214544,24.7,6-3 6-2,QF,109.0,australian open-2023,2023
252,BLR,Aryna Sabalenka,20230116,214544,24.7,7-6(1) 6-2,SF,93.0,australian open-2023,2023
253,BLR,Aryna Sabalenka,20230116,214544,24.7,4-6 6-3 6-4,F,148.0,australian open-2023,2023
254,BLR,Aryna Sabalenka,20230529,214544,25.0,6-3 6-2,R128,71.0,roland garros-2023,2023
255,BLR,Aryna Sabalenka,20230529,214544,25.0,7-5 6-2,R64,88.0,roland garros-2023,2023
256,BLR,Aryna Sabalenka,20230529,214544,25.0,6-2 6-2,R32,67.0,roland garros-2023,2023
257,BLR,Aryna Sabalenka,20230529,214544,25.0,7-6(5) 6-4,R16,102.0,roland garros-2023,2023
258,BLR,Aryna Sabalenka,20230529,214544,25.0,6-4 6-4,QF,97.0,roland garros-2023,2023
259,BLR,Aryna Sabalenka,20230703,214544,25.1,6-3 6-1,R128,62.0,wimbledon-2023,2023
260,BLR,Aryna Sabalenka,20230703,214544,25.1,2-6 7-5 6-2,R64,118.0,wimbledon-2023,2023
261,BLR,Aryna Sabalenka,20230703,214544,25.1,6-2 6-3,R32,81.0,wimbledon-2023,2023
262,BLR,Aryna Sabalenka,20230703,214544,25.1,6-4 6-0,R16,71.0,wimbledon-2023,2023
263,BLR,Aryna Sabalenka,20230703,214544,25.1,6-2 6-4,QF,87.0,wimbledon-2023,2023
264,BLR,Aryna Sabalenka,20230828,214544,25.3,6-3 6-2,R128,78.0,us open-2023,2023
265,BLR,Aryna Sabalenka,20230828,214544,25.3,6-3 6-2,R64,74.0,us open-2023,2023
266,BLR,Aryna Sabalenka,20230828,214544,25.3,6-1 6-1,R32,60.0,us open-2023,2023
267,BLR,Aryna Sabalenka,20230828,214544,25.3,6-1 6-3,R16,75.0,us open-2023,2023
268,BLR,Aryna Sabalenka,20230828,214544,25.3,6-1 6-4,QF,73.0,us open-2023,2023
269,BLR,Aryna Sabalenka,20230828,214544,25.3,0-6 7-6(1) 7-6(5),SF,152.0,us open-2023,2023
